action_type,step,expected_utility
ActionType.TRANSFER,144,382.257541418054
ActionType.TRANSFER,145,386.69518729239786
ActionType.TRANSFER,146,387.5746703663335
ActionType.TRANSFER,147,392.1630140666809
ActionType.TRANSFER,148,392.89099493832396
ActionType.TRANSFER,149,397.6228708489214
ActionType.TRANSFER,150,398.20660458135296
ActionType.TRANSFER,151,403.0752898686592
ActionType.TRANSFER,152,403.52157898411605
ActionType.TRANSFER,153,408.52077134348207
ActionType.TRANSFER,154,408.83598911381415
ActionType.TRANSFER,155,413.9597849671418
ActionType.TRANSFER,156,414.14989814721457
ActionType.TRANSFER,157,419.3927713895112
ActionType.TRANSFER,158,419.46336230583313
ActionType.TRANSFER,159,424.8201436773625
ActionType.TRANSFER,160,424.776431604565
ActionType.TRANSFER,161,430.2422887470673
ActionType.TRANSFER,162,430.08915052227
ActionType.TRANSFER,163,435.65956876213954
ActionType.TRANSFER,164,435.4015586020612
ActionType.TRANSFER,165,441.0723224901071
ActionType.TRANSFER,166,440.71369098833725
ActionType.TRANSFER,167,446.4808666145209
ActionType.TRANSFER,168,446.02557890694607
ActionType.TRANSFER,169,451.88549699904513
ActionType.TRANSFER,170,451.33725009426485
ActionType.TRANSFER,171,457.2864899015247
ActionType.TRANSFER,172,456.64872918043545
ActionType.TRANSFER,173,462.68410313671956
ActionType.TRANSFER,174,461.96003803147926
ActionType.TRANSFER,175,468.07857718707635
ActionType.TRANSFER,176,467.2711960545637
ActionType.TRANSFER,177,473.47013626144934
ActionType.TRANSFER,178,472.5822204702635
ActionType.TRANSFER,179,478.8589893021463
ActionType.TRANSFER,180,477.89312655528386
ActionType.TRANSFER,181,484.2453309410429
ActionType.TRANSFER,182,483.20392785875913
ActionType.TRANSFER,183,489.62934240580313
ActionType.TRANSFER,184,488.5146363949296
ActionType.TRANSFER,185,495.0111923774866
ActionType.TRANSFER,186,493.8252628147091
ActionType.TRANSFER,187,500.3910378009965
ActionType.TRANSFER,188,499.1358165584047
ActionType.TRANSFER,189,505.76902464996385
ActionType.TRANSFER,190,504.4463059916079
ActionType.TRANSFER,191,511.1452886477647
ActionType.TRANSFER,192,509.75673852607315
ActionType.TRANSFER,193,516.5199559464261
ActionType.TRANSFER,194,515.0671207272088
ActionType.TRANSFER,195,521.8931437652254
ActionType.TRANSFER,196,520.3774584096309
ActionType.TRANSFER,197,527.2649609907983
ActionType.TRANSFER,198,525.6877567220823
ActionType.TRANSFER,199,532.6355087405709
ActionType.TRANSFER,200,530.9980202228783
ActionType.TRANSFER,201,538.0048808913205
ActionType.TRANSFER,202,536.308252946917
ActionType.TRANSFER,203,543.373164574632
ActionType.TRANSFER,204,541.6184584651811
