action_type,step,expected_utility
ActionType.TRANSFORM,143,509.7702317750149
ActionType.TRANSFER,144,508.7008934552342
ActionType.TRANSFER,145,506.992483969401
ActionType.TRANSFER,146,520.067780726177
ActionType.TRANSFORM,147,530.2573740444275
ActionType.TRANSFORM,148,537.208184851485
ActionType.TRANSFER,149,541.302023096633
ActionType.TRANSFER,150,533.2499976720991
ActionType.TRANSFER,151,548.7246182256546
ActionType.TRANSFORM,152,559.252495292449
ActionType.TRANSFER,153,554.4657207537483
ActionType.TRANSFER,154,556.4789886798015
ActionType.TRANSFER,155,570.1956944091929
ActionType.TRANSFORM,156,580.9091889907348
ActionType.TRANSFORM,157,588.1818082701081
ActionType.TRANSFER,158,591.7196461614363
ActionType.TRANSFER,159,548.0729999999977
ActionType.TRANSFER,160,594.7181480055291
ActionType.TRANSFER,161,603.7855920777006
ActionType.TRANSFER,162,594.134999486733
ActionType.TRANSFER,163,611.3879766669465
ActionType.TRANSFORM,164,622.5542701841318
ActionType.TRANSFER,165,620.3110360312165
ActionType.TRANSFER,166,618.5159970722377
ActionType.TRANSFER,167,633.3057571129307
ActionType.TRANSFER,168,637.6524251938845
ActionType.TRANSFER,169,628.1729995487684
ActionType.TRANSFER,170,645.3945617575379
ActionType.TRANSFORM,171,656.9370004408053
ActionType.TRANSFORM,172,668.5688282632044
ActionType.TRANSFORM,173,680.2900391239244
ActionType.TRANSFER,174,671.6129243207374
ActionType.TRANSFER,175,637.0875000000115
ActionType.TRANSFER,176,688.242127624947
ActionType.TRANSFER,177,696.2797231459078
ActionType.TRANSFER,178,676.8449999999905
ActionType.TRANSFER,179,700.7742188664473
ActionType.TRANSFORM,180,712.7897498489041
ActionType.TRANSFORM,181,724.8952562381847
ActionType.TRANSFORM,182,732.9957904936863
ActionType.TRANSFER,183,740.7563534820925
ActionType.TRANSFER,184,721.1879999999844
ActionType.TRANSFER,185,745.9024037615858
ActionType.TRANSFORM,186,758.3052034945605
ActionType.TRANSFER,187,765.5367726891079
ActionType.TRANSFER,188,760.3329291173775
ActionType.TRANSFER,189,743.3369999999911
ActionType.TRANSFER,190,772.9175933129966
ActionType.TRANSFER,191,781.7516844666516
ActionType.TRANSFER,192,781.91499808424
ActionType.TRANSFER,193,790.337373078539
ActionType.TRANSFER,194,769.1129999999918
ActionType.TRANSFER,195,795.0050116630025
ActionType.TRANSFORM,196,807.9024694157731
ActionType.TRANSFORM,197,820.889907510108
ActionType.TRANSFORM,198,829.5123730187923
ActionType.TRANSFER,199,837.4682261414957
ActionType.TRANSFER,200,834.8472274860445
ActionType.TRANSFER,201,786.010500000005
ActionType.TRANSFER,202,844.4598917873218
ActionType.TRANSFER,203,853.8721576191806
ActionType.TRANSFER,204,839.7377407785474
ActionType.TRANSFER,205,839.474999999991
ActionType.TRANSFER,206,866.5230321756142
ActionType.TRANSFORM,207,880.0519872020993
ActionType.TRANSFORM,208,893.670782905929
ActionType.TRANSFORM,209,902.6779736638731
ActionType.TRANSFER,210,906.7310406690414
ActionType.TRANSFER,211,885.8835000000025
ActionType.TRANSFER,212,913.9054837978148
ActionType.TRANSFORM,213,927.8024957889156
ActionType.TRANSFER,214,934.6354551158469
ActionType.TRANSFER,215,934.6016694310199
ActionType.TRANSFER,216,943.7071062637956
ActionType.TRANSFER,217,910.098000000005
ActionType.TRANSFER,218,952.5205609486106
ActionType.TRANSFER,219,942.3009911496041
ActionType.TRANSFER,220,945.4499999541652
ActionType.TRANSFER,221,964.5392035764098
ActionType.TRANSFORM,222,978.8979491168449
ActionType.TRANSFER,223,978.4117278362704
ActionType.TRANSFER,224,962.6400000000056
ActionType.TRANSFER,225,992.1419198168057
ActionType.TRANSFORM,226,1006.725157261238
ActionType.TRANSFORM,227,1021.3983101117227
ActionType.TRANSFORM,228,1036.1613799381723
ActionType.TRANSFER,229,1029.7605281380727
ActionType.TRANSFER,230,1013.9240131469105
ActionType.TRANSFER,231,962.654547454636
ActionType.TRANSFER,232,1028.8728404226274
ActionType.TRANSFER,233,1038.7305885267551
ActionType.TRANSFER,234,1052.8470013029255
ActionType.TRANSFER,235,1058.8434805498866
ActionType.TRANSFER,236,1054.608628649416
ActionType.TRANSFER,237,1055.820319621596
ActionType.TRANSFER,238,1063.5731319887343
ActionType.TRANSFER,239,1049.5095030255586
ActionType.TRANSFER,240,1080.8435131238787
ActionType.TRANSFORM,241,1096.1994363042381
ActionType.TRANSFORM,242,1111.6452099688413
ActionType.TRANSFORM,243,1121.714391730035
ActionType.TRANSFER,244,1125.5762490634281
ActionType.TRANSFER,245,1123.5175648356835
ActionType.TRANSFER,246,1107.5001729236892
ActionType.TRANSFER,247,1139.752698932517
ActionType.TRANSFORM,248,1155.596211084943
ActionType.TRANSFORM,249,1171.529434338361
ActionType.TRANSFORM,250,1181.9453986740207
ActionType.TRANSFER,251,1181.121456205332
ActionType.TRANSFER,252,1118.1534892678585
ActionType.TRANSFER,253,1190.7905045280236
ActionType.TRANSFER,254,1201.2537760644564
ActionType.TRANSFER,255,1171.7807626776573
ActionType.TRANSFER,256,1205.185064218739
ActionType.TRANSFORM,257,1221.5144649858867
ActionType.TRANSFORM,258,1237.933612072288
ActionType.TRANSFORM,259,1248.6295045840782
ActionType.TRANSFER,260,1259.3411432965356
ActionType.TRANSFER,261,1229.1430515578083
ActionType.TRANSFER,262,1263.3372173721925
ActionType.TRANSFORM,263,1280.0452691271717
ActionType.TRANSFER,264,1290.8917326487351
ActionType.TRANSFORM,265,1307.75721129743
ActionType.TRANSFORM,266,1318.7398358191763
ActionType.TRANSFER,267,1320.9527855553797
ActionType.TRANSFER,268,1250.5852765978539
ActionType.TRANSFER,269,1327.8088094541909
ActionType.TRANSFER,270,1338.8569922345985
ActionType.TRANSFER,271,1307.3822642028304
ActionType.TRANSFER,272,1342.815846427484
ActionType.TRANSFORM,273,1360.079690119012
ActionType.TRANSFORM,274,1377.4332827159708
ActionType.TRANSFORM,275,1388.6991288987494
ActionType.TRANSFER,276,1399.9939150268942
ActionType.TRANSFER,277,1367.8030662132555
ActionType.TRANSFER,278,1404.025359822392
ActionType.TRANSFORM,279,1421.668601237366
ActionType.TRANSFER,280,1433.0973871265385
ActionType.TRANSFORM,281,1450.8978405064945
ActionType.TRANSFORM,282,1462.4515810585033
ActionType.TRANSFER,283,1467.2145920592545
ActionType.TRANSFER,284,1396.2107782603916
ActionType.TRANSFER,285,1394.2697792856286
ActionType.TRANSFER,286,1476.1847028849268
ActionType.TRANSFER,287,1488.7259884118703
ActionType.TRANSFER,288,1455.8171758814594
ActionType.TRANSFER,289,1493.3869083558475
ActionType.TRANSFORM,290,1511.687961429356
ActionType.TRANSFER,291,1523.2590211951722
ActionType.TRANSFER,292,1527.92291916035
ActionType.TRANSFER,293,1495.1713636589282
ActionType.TRANSFER,294,1533.3475193312586
ActionType.TRANSFORM,295,1551.8383358870212
ActionType.TRANSFORM,296,1570.4191425931833
ActionType.TRANSFORM,297,1589.0899397191554
ActionType.TRANSFER,298,1599.754049735256
