action_type,step,expected_utility
ActionType.TRANSFER,143,479.5505811195352
ActionType.TRANSFER,144,471.0959999740828
ActionType.TRANSFER,145,490.4038362076519
ActionType.TRANSFORM,146,500.3682385529767
ActionType.TRANSFORM,147,510.4223054973951
ActionType.TRANSFORM,148,517.2376159719903
ActionType.TRANSFER,149,521.2537692946321
ActionType.TRANSFER,150,516.0748080506272
ActionType.TRANSFER,151,511.66349998322266
ActionType.TRANSFER,152,531.7579752363362
ActionType.TRANSFORM,153,542.1573909845749
ActionType.TRANSFER,154,545.2629541353616
ActionType.TRANSFER,155,531.7997160701345
ActionType.TRANSFER,156,529.3079999999838
ActionType.TRANSFER,157,553.8774373783418
ActionType.TRANSFER,158,560.4449483766494
ActionType.TRANSFER,159,557.266654273144
ActionType.TRANSFER,160,549.3599999959748
ActionType.TRANSFER,161,570.6459270398406
ActionType.TRANSFORM,162,581.4909177765044
ActionType.TRANSFORM,163,592.4256452514757
ActionType.TRANSFORM,164,599.7615432531261
ActionType.TRANSFER,165,603.8231097942877
ActionType.TRANSFER,166,593.536523979404
ActionType.TRANSFER,167,562.8734999999922
ActionType.TRANSFER,168,611.5947165448581
ActionType.TRANSFER,169,618.9693351271679
ActionType.TRANSFER,170,617.8323152088728
ActionType.TRANSFER,171,606.3659999992881
ActionType.TRANSFER,172,629.1037068474698
ActionType.TRANSFORM,173,640.5527997203153
ActionType.TRANSFER,174,645.2314710391748
ActionType.TRANSFER,175,646.5088621633732
ActionType.TRANSFER,176,652.7678083345237
ActionType.TRANSFER,177,653.9009638923897
ActionType.TRANSFER,178,660.2974754050634
ActionType.TRANSFER,179,661.2927325960922
ActionType.TRANSFER,180,667.8208888736552
ActionType.TRANSFER,181,668.6842036516865
ActionType.TRANSFER,182,675.3384411546075
ActionType.TRANSFER,183,676.0754087279843
ActionType.TRANSFER,184,682.8505016667398
ActionType.TRANSFER,185,683.4663761675203
ActionType.TRANSFER,186,690.3574180083359
ActionType.TRANSFER,187,690.8571313301906
ActionType.TRANSFER,188,697.8595170920626
ActionType.TRANSFER,189,698.2476969021621
ActionType.TRANSFER,190,705.3571062385205
ActionType.TRANSFER,191,705.638093173461
ActionType.TRANSFER,192,712.8504742276015
ActionType.TRANSFER,193,713.0283382873163
ActionType.TRANSFER,194,720.3398923072441
ActionType.TRANSFER,195,720.4184484640585
ActionType.TRANSFER,196,727.8256151595524
ActionType.TRANSFER,197,727.8084382021029
ActionType.TRANSFER,198,735.3078818245319
ActionType.TRANSFER,199,735.1983204582951
ActionType.TRANSFER,200,742.7920477043414
ActionType.TRANSFER,201,729.1976716168391
ActionType.TRANSFER,202,727.1999999999698
ActionType.TRANSFER,203,753.4166010459375
ActionType.TRANSFORM,204,766.3152069417713
ActionType.TRANSFORM,205,779.3036791246641
ActionType.TRANSFORM,206,792.3820185986636
ActionType.TRANSFER,207,796.0387827256415
ActionType.TRANSFER,208,757.1834966091192
ActionType.TRANSFER,209,743.9355000000077
ActionType.TRANSFER,210,804.1910728931146
ActionType.TRANSFER,211,812.6112774790381
ActionType.TRANSFER,212,801.947688124496
ActionType.TRANSFER,213,795.5550000000009
