action_type,step,expected_utility,state_quality
ActionType.TRANSFORM,2,-0.16636845602825256,302.69999999999993
ActionType.TRANSFORM,3,-0.14894049052388447,302.74999999999994
ActionType.TRANSFORM,4,-0.13045643607922833,302.8
ActionType.TRANSFORM,5,-0.1108937583984107,302.85
ActionType.TRANSFORM,6,-0.09023186188854955,302.9
ActionType.TRANSFORM,7,-0.06845224331777441,302.95
ActionType.TRANSFORM,8,-0.04553863640407585,303.0
ActionType.TRANSFORM,9,-0.02147714557774294,303.05
ActionType.TRANSFORM,10,0.0037436327712298267,303.1
ActionType.TRANSFORM,11,0.03013250315038718,303.15
ActionType.TRANSFORM,12,0.057695579386098206,303.20000000000005
ActionType.TRANSFORM,13,0.086436209907645,303.25000000000006
ActionType.TRANSFORM,14,0.11635492100759487,303.3
ActionType.TRANSFORM,15,0.14744937897883936,303.34999999999997
ActionType.TRANSFORM,16,0.1797143717984673,303.40000000000003
ActionType.TRANSFORM,17,0.2131418107804929,303.45000000000005
ActionType.TRANSFORM,18,0.2477207523620355,303.5
ActionType.TRANSFORM,19,0.2834374399217868,303.55
ActionType.TRANSFORM,20,0.32027536526624467,303.6
ActionType.TRANSFORM,21,0.35821534916071873,303.65000000000003
ActionType.TRANSFORM,22,0.39723564003303724,303.70000000000005
ActionType.TRANSFORM,23,0.437312029746742,303.75
ActionType.TRANSFORM,24,0.4784179851295378,303.8
ActionType.TRANSFORM,25,0.5205247937557075,303.85
ActionType.TRANSFORM,26,0.5636017223250963,303.90000000000003
ActionType.TRANSFORM,27,0.6076161858529638,303.95000000000005
ActionType.TRANSFORM,28,0.6525339257920102,304.0
ActionType.TRANSFORM,29,0.6983191951477696,304.05
ActionType.TRANSFORM,30,0.7449349486210637,304.1
ActionType.TRANSFORM,31,0.7923430358195245,304.15000000000003
ActionType.TRANSFORM,32,0.8405043956162143,304.20000000000005
ActionType.TRANSFORM,33,0.8893792498012864,304.25
ActionType.TRANSFORM,34,0.9389272942657961,304.3
ActionType.TRANSFORM,35,0.9891078860716114,304.35
ActionType.TRANSFORM,36,1.0398802248986296,304.40000000000003
ActionType.TRANSFORM,37,1.0912035275091396,304.45000000000005
ActionType.TRANSFORM,38,1.1430371940323572,304.5
ActionType.TRANSFORM,39,1.1953409650418088,304.55
ActionType.TRANSFORM,40,1.248075068570333,304.6
ActionType.TRANSFORM,41,1.3012003563832104,304.65000000000003
ActionType.TRANSFORM,42,1.3546784289983256,304.70000000000005
ActionType.TRANSFORM,43,1.4084717491081695,304.75
ActionType.TRANSFORM,44,1.462543743214819,304.8
ActionType.TRANSFORM,45,1.516858891433664,304.85
ActionType.TRANSFORM,46,1.571382805557818,304.90000000000003
ActionType.TRANSFORM,47,1.626082295593584,304.95000000000005
ActionType.TRANSFORM,48,1.680925425085439,305.0
ActionType.TRANSFORM,49,1.7358815556412994,305.05
ActionType.TRANSFORM,50,1.790921381145547,305.1
ActionType.TRANSFORM,51,1.846016952213285,305.15000000000003
ActionType.TRANSFORM,52,1.9011416914871164,305.20000000000005
ActionType.TRANSFORM,53,1.9562704004161497,305.25
ActionType.TRANSFORM,54,2.0113792581819423,305.3
ActionType.TRANSFORM,55,2.0664458134486625,305.34999999999997
ActionType.TRANSFORM,56,2.1214489696214565,305.4
ActionType.TRANSFORM,57,2.176368964288356,305.45
ActionType.TRANSFORM,58,2.2311873435121825,305.5
ActionType.TRANSFORM,59,2.285886931616846,305.55
ActionType.TRANSFORM,60,2.340451797089228,305.59999999999997
ActionType.TRANSFORM,61,2.3948672151886807,305.65
ActionType.TRANSFORM,62,2.4491196278223613,305.7
ActionType.TRANSFORM,63,2.503196601211857,305.75
ActionType.TRANSFORM,64,2.5570867818374943,305.8
ActionType.TRANSFORM,65,2.610779851110265,305.84999999999997
ActionType.TRANSFER,66,0.5914551627494185,304.95
ActionType.TRANSFER,67,0.5997298387061087,305.15
