action_type,step,expected_utility,state_quality
ActionType.TRANSFORM,2,-0.15242005533577302,62.550000000000004
ActionType.TRANSFORM,3,-0.08089874174280136,62.6
ActionType.TRANSFORM,4,0.05571880084993669,62.650000000000006
ActionType.TRANSFORM,5,0.2962739343992288,62.7
ActionType.TRANSFORM,6,0.6885881262677657,62.75000000000001
ActionType.TRANSFORM,7,1.2670249692914761,62.8
ActionType.TRANSFORM,8,2.0228915912416543,62.849999999999994
ActionType.TRANSFORM,9,2.9042077594297373,62.900000000000006
ActionType.TRANSFORM,10,3.8555648640218934,62.95
ActionType.TRANSFORM,11,4.851766997927397,63.0
ActionType.TRANSFORM,12,5.896027640646082,63.050000000000004
ActionType.TRANSFORM,13,7.0023791149727765,63.1
ActionType.TRANSFORM,14,8.183640283616038,63.150000000000006
ActionType.TRANSFORM,15,9.447925609683923,63.2
ActionType.TRANSFORM,16,10.799387293801814,63.25
ActionType.TRANSFORM,17,12.23983590824653,63.300000000000004
ActionType.TRANSFORM,18,13.769960115307882,63.35
ActionType.TRANSFORM,19,15.389991194806488,63.400000000000006
ActionType.TRANSFORM,20,17.099998233318487,63.45
ActionType.TRANSFORM,21,18.899999677672366,63.5
ActionType.TRANSFORM,22,20.78999994649957,63.550000000000004
ActionType.TRANSFORM,23,22.769999991918258,63.60000000000001
ActionType.TRANSFORM,24,24.839999998888445,63.65
ActionType.TRANSFORM,25,26.99999999986084,63.7
ActionType.TRANSFORM,26,29.24999999998412,63.75
ActionType.TRANSFORM,27,31.58999999999862,63.80000000000001
ActionType.TRANSFORM,28,34.02000000000006,63.85000000000001
ActionType.TRANSFORM,29,36.540000000000134,63.900000000000006
ActionType.TRANSFORM,30,39.15000000000008,63.95
ActionType.TRANSFORM,31,41.85,64.0
ActionType.TRANSFORM,32,44.64000000000033,64.05000000000001
ActionType.TRANSFORM,33,47.52000000000025,64.10000000000001
ActionType.TRANSFORM,34,50.49000000000018,64.15
ActionType.TRANSFORM,35,53.55000000000009,64.2
ActionType.TRANSFORM,36,56.699999999999996,64.25
ActionType.TRANSFORM,37,59.94000000000039,64.30000000000001
ActionType.TRANSFORM,38,63.270000000000294,64.35000000000001
ActionType.TRANSFORM,39,66.6900000000002,64.4
ActionType.TRANSFORM,40,70.2000000000001,64.45
ActionType.TRANSFORM,41,73.8,64.5
ActionType.TRANSFORM,42,77.49000000000044,64.55000000000001
ActionType.TRANSFORM,43,81.27000000000034,64.60000000000001
ActionType.TRANSFORM,44,85.14000000000023,64.65
ActionType.TRANSFORM,45,89.10000000000011,64.7
ActionType.TRANSFORM,46,93.14999999999999,64.75
ActionType.TRANSFORM,47,97.29000000000049,64.80000000000001
ActionType.TRANSFORM,48,101.52000000000038,64.85000000000001
ActionType.TRANSFORM,49,105.84000000000026,64.9
ActionType.TRANSFORM,50,110.25000000000013,64.95
ActionType.TRANSFORM,51,114.75,65.0
ActionType.TRANSFORM,52,119.34000000000054,65.05000000000001
ActionType.TRANSFORM,53,124.02000000000041,65.10000000000001
ActionType.TRANSFORM,54,128.79000000000028,65.15
ActionType.TRANSFORM,55,133.65000000000015,65.2
ActionType.TRANSFORM,56,138.6,65.25
ActionType.TRANSFORM,57,143.64000000000058,65.30000000000001
ActionType.TRANSFORM,58,148.77000000000046,65.35000000000001
ActionType.TRANSFORM,59,153.9900000000003,65.4
ActionType.TRANSFORM,60,159.30000000000015,65.45
ActionType.TRANSFORM,61,164.7,65.5
ActionType.TRANSFORM,62,170.19000000000065,65.55000000000001
ActionType.TRANSFORM,63,175.7700000000005,65.60000000000001
ActionType.TRANSFORM,64,181.44000000000116,65.65000000000002
ActionType.TRANSFORM,65,187.200000000001,65.70000000000002
ActionType.TRANSFORM,66,193.04999999999998,65.75
ActionType.TRANSFORM,67,198.9900000000007,65.80000000000001
ActionType.TRANSFORM,68,205.02000000000052,65.85000000000001
ActionType.TRANSFORM,69,211.14000000000036,65.9
ActionType.TRANSFORM,70,217.3500000000002,65.95
ActionType.TRANSFORM,71,223.65,66.0
ActionType.TRANSFORM,72,230.04000000000073,66.05000000000001
ActionType.TRANSFORM,73,236.52000000000058,66.10000000000001
ActionType.TRANSFORM,74,243.0900000000004,66.15
ActionType.TRANSFORM,75,249.7500000000002,66.2
ActionType.TRANSFORM,76,256.5,66.25
ActionType.TRANSFORM,77,263.34000000000077,66.30000000000001
ActionType.TRANSFORM,78,270.2700000000006,66.35000000000001
ActionType.TRANSFORM,79,277.2900000000004,66.4
ActionType.TRANSFORM,80,284.4000000000002,66.45
ActionType.TRANSFORM,81,291.6,66.5
ActionType.TRANSFORM,82,298.89000000000084,66.55000000000001
ActionType.TRANSFORM,83,306.27000000000066,66.60000000000001
ActionType.TRANSFORM,84,313.74000000000046,66.65
ActionType.TRANSFORM,85,321.30000000000024,66.7
ActionType.TRANSFORM,86,328.95000000000005,66.75
ActionType.TRANSFORM,87,336.69000000000085,66.80000000000001
ActionType.TRANSFORM,88,344.52000000000066,66.85000000000001
ActionType.TRANSFORM,89,352.4400000000005,66.9
ActionType.TRANSFORM,90,360.4500000000002,66.95
ActionType.TRANSFORM,91,368.55,67.0
ActionType.TRANSFORM,92,376.7400000000009,67.05000000000001
ActionType.TRANSFORM,93,385.0200000000007,67.10000000000001
