action_type,step,expected_utility,state_quality
ActionType.TRANSFORM,2,-0.2754310730938354,302.9
ActionType.TRANSFORM,3,-0.047578433168661616,303.15
ActionType.TRANSFORM,4,0.20428896940503355,303.4
ActionType.TRANSFORM,5,0.47500714084104156,303.65
ActionType.TRANSFORM,6,0.7591913518817416,303.9
ActionType.TRANSFORM,7,1.051815743324497,304.15
ActionType.TRANSFORM,8,1.3486036594980255,304.4
ActionType.TRANSFORM,9,1.646209244529888,304.65
ActionType.TRANSFORM,10,1.9422262580259666,304.9
ActionType.TRANSFORM,11,2.235084137440794,305.15
ActionType.TRANSFORM,12,2.523889804319424,305.4
ActionType.TRANSFORM,13,3.144061806353144,305.95
ActionType.TRANSFORM,14,3.418912922226297,306.2
ActionType.TRANSFORM,15,4.011128284484767,306.75
ActionType.TRANSFORM,16,4.169678890528046,306.90000000000003
ActionType.TRANSFORM,17,4.327249336943019,307.05
ActionType.TRANSFER,18,1.8679022952633864,305.23
ActionType.TRANSFER,19,2.1199369693066172,305.98
ActionType.TRANSFER,20,2.120503647464157,306.025
ActionType.TRANSFER,21,2.1199117062386206,306.04999999999995
ActionType.TRANSFER,22,2.1191571971612824,306.065
ActionType.TRANSFER,23,2.1177080388786758,306.09000000000003
ActionType.TRANSFER,24,2.1164391392509834,306.105
ActionType.TRANSFER,25,2.1165273219301795,305.95500000000004
ActionType.TRANSFER,26,2.1183588591826945,306.03000000000003
ActionType.TRANSFER,27,2.1178639737452123,306.045
ActionType.TRANSFER,28,2.116849002523069,306.07
ActionType.TRANSFER,29,2.115841024823064,306.085
ActionType.TRANSFER,30,2.113968838613819,306.11
ActionType.TRANSFER,31,2.1146735841388673,305.96
ActionType.TRANSFER,32,2.1162034779697545,306.02
ActionType.TRANSFER,33,2.115727793732168,306.04499999999996
ActionType.TRANSFER,34,2.1150439679790303,306.06
ActionType.TRANSFER,35,2.1137136961870806,306.085
ActionType.TRANSFER,36,2.112517008133837,306.09999999999997
ActionType.TRANSFER,37,2.1119140923885102,305.95
ActionType.TRANSFER,38,2.114083855753027,306.02500000000003
ActionType.TRANSFER,39,2.1136587807975724,306.04
ActionType.TRANSFER,40,2.1127612546817782,306.065
ActionType.TRANSFER,41,2.111824647349318,306.08
ActionType.TRANSFER,42,2.110072473931174,306.10499999999996
ActionType.TRANSFER,43,2.1100848623300825,305.9549999999999
ActionType.TRANSFER,44,2.1119460004151187,306.03
ActionType.TRANSFER,45,2.1114598646712848,306.045
ActionType.TRANSFER,46,2.1104606686730842,306.07
ActionType.TRANSFER,47,2.109463468647727,306.085
ActionType.TRANSFER,48,2.1076104601265655,306.10999999999996
ActionType.TRANSFER,49,2.1082368854237012,305.96
ActionType.TRANSFER,50,2.109790123233437,306.02
ActionType.TRANSFER,51,2.109328113803175,306.045
ActionType.TRANSFER,52,2.10865379516409,306.06
ActionType.TRANSFER,53,2.107340567856836,306.085
ActionType.TRANSFER,54,2.1061554223305086,306.09999999999997
ActionType.TRANSFER,55,2.103988929392168,306.125
ActionType.TRANSFER,56,2.1022922009695892,306.14000000000004
ActionType.TRANSFER,57,2.0992715777187514,306.165
ActionType.TRANSFER,58,2.0970632338649473,306.18
ActionType.TRANSFER,59,2.0931888389876736,306.205
ActionType.TRANSFER,60,2.090469593552781,306.21999999999997
ActionType.TRANSFER,61,2.0857430459919035,306.245
ActionType.TRANSFER,62,2.08251437992942,306.26
ActionType.TRANSFER,63,2.0769385919389314,306.28499999999997
ActionType.TRANSFER,64,2.073202771580449,306.3
ActionType.TRANSFER,65,2.0667819775291676,306.32500000000005
ActionType.TRANSFER,66,2.062542070170062,306.34000000000003
ActionType.TRANSFER,67,2.055281850693784,306.365
ActionType.TRANSFER,68,2.0505417372606316,306.38
ActionType.TRANSFER,69,2.0424490383921965,306.405
ActionType.TRANSFER,70,2.037213422976769,306.41999999999996
ActionType.TRANSFER,71,2.0282965699067024,306.445
ActionType.TRANSFER,72,2.0225709859723002,306.46
ActionType.TRANSFER,73,2.0128396911308424,306.48499999999996
ActionType.TRANSFER,74,2.0066305042181494,306.5
ActionType.TRANSFER,75,1.9960958694089823,306.52500000000003
ActionType.TRANSFER,76,1.9894102761947932,306.54
ActionType.TRANSFER,77,1.9780847885511008,306.565
ActionType.TRANSFER,78,1.9709308121393332,306.58
ActionType.TRANSFER,79,1.958828333727495,306.60499999999996
ActionType.TRANSFER,80,1.9512148150851696,306.61999999999995
ActionType.TRANSFER,81,1.9383505660270994,306.645
ActionType.TRANSFER,82,1.9302871515073203,306.66
ActionType.TRANSFER,83,1.9166776865514044,306.685
ActionType.TRANSFER,84,1.908174811480901,306.7
ActionType.TRANSFER,85,1.8938379900091766,306.725
ActionType.TRANSFER,86,1.884906858353324,306.74
ActionType.TRANSFER,87,1.8698618078679985,306.765
ActionType.TRANSFER,88,1.8605143680210412,306.78
ActionType.TRANSFER,89,1.8447814412203924,306.80499999999995
ActionType.TRANSFER,90,1.8350303580060325,306.82
ActionType.TRANSFER,91,1.8186310836135808,306.845
